steps,reward,latency,bandwidth
12529,-0.491,1.122,0.04316252
12536,0.366,0.498,0.08052643
12540,0.208,0.42,0.26176816
12542,1.069,0.08,0.6440377
12545,1.233,0.267,0.16731505
12551,0.419,0.735,0.56344817
12557,-0.79,0.417,0.20582358
12561,0.346,0.541,0.24642506
12573,-2.597,0.94,0.02606726
12579,-0.664,0.746,0.20707
12603,-6.334,3.182,0.02606726
12605,0.01,0.299,0.02606726
12608,1.275,0.336,0.11262371
12613,1.401,0.497,0.1292017
12614,1.01,0.113,0.39507319
12619,0.1,0.57,0.1292017
12623,-0.969,0.206,0.08052643
12630,-0.747,0.82,0.03211208
12640,-1.105,1.563,0.06793869
12662,-4.88,2.399,0.02606726
12678,-3.082,1.886,0.14181017
12691,-3.346,1.106,0.11262371
12696,0.451,0.642,0.1709423
12703,0.223,0.526,0.20707
12712,-1.565,1.356,0.04316252
12726,-3.583,1.386,0.02606726
12727,1.01,0.157,0.24549004
12729,1.084,0.219,0.76334807
12743,-3.249,1.32,0.1292017
12748,1.4,0.543,0.25082545
12768,-4.879,2.616,0.05767309
12782,-4.659,1.174,0.19993387
12791,-0.568,1.123,0.02606726
12802,-2.266,1.316,0.20848115
12805,0.099,0.334,0.24549004
12808,1.276,0.411,0.76334807
12812,1.145,0.661,0.4100498
12815,1.051,0.101,0.08052643
12819,0.143,0.28,0.25082545
12822,1.346,0.425,0.24642506
12826,0.348,0.535,0.14478646
12834,-1.289,1.298,0.06793869
12843,-1.661,0.812,0.01936618
12847,1.289,0.505,0.1341009
12852,-1.907,0.705,0.14181017
12854,1.187,0.371,0.14478646
12857,1.111,0.361,0.1292017
12875,-4.384,1.119,0.1292017
12886,-2.249,1.41,0.11488941
12891,1.306,0.478,0.4100498
12901,-0.366,1.152,0.14920605
12923,-6.01,2.488,0.01936618
12926,1.169,0.281,0.50130547
12938,-3.353,1.564,0.14181017
12946,-0.459,0.817,0.20582358
12961,-5.553,1.203,0.01936618
12966,0.431,0.602,0.14181017
12980,-2.99,2.478,0.33628948
12981,1.01,0.154,0.98070889
12985,0.097,0.448,0.06793869
12994,-2.657,0.933,0.33628948
13003,-1.748,0.734,0.24549004
13010,-0.638,0.627,0.11488941
13019,-1.589,1.096,0.01936618
13024,0.23,0.424,0.2659298
13026,1.218,0.35,0.33628948
13028,1.078,0.196,0.20582358
13034,-0.663,0.606,0.24549004
13036,1.136,0.168,0.2659298
13050,-3.351,1.929,0.05767309
13073,-4.706,3.462,0.03211208
13075,1.126,0.424,0.1341009
13089,-2.459,1.486,0.04316252
13093,0.106,0.539,0.20582358
13103,-2.556,0.84,0.19993387
13107,1.284,0.447,0.50464297
13113,0.556,0.767,0.76334807
13117,1.174,0.754,0.1341009
13125,-0.573,0.65,0.08052643
13129,1.314,0.33,0.04316252
13135,-0.786,0.479,0.21766825
13146,-2.43,1.526,0.04316252
13148,1.113,0.178,0.4100498
13166,-4.406,1.564,0.01936618
13171,1.353,0.442,0.08052643
13177,0.494,0.633,0.27531128
13179,1.189,0.307,0.5823415
13181,1.113,0.167,0.50464297
13190,-1.492,1.251,0.1341009
